Iteration,EnvExecTime,GradNorm,TotalEnvSteps,LossAfter,Entropy,ProcessExecTime,AverageDiscountedReturn,KL,PolicyExecTime,StdReturn,KLBefore,AverageReturn,dLoss,EvalAvgReturn,NumTrajs,MinReturn,MaxReturn,LossBefore
32,3.42075252532959,0.33572583801330214,165924,-0.17622557282447815,1.5559614896774292,0.07209110260009766,-53.268485482333254,0.0009748743614181876,2.4499919414520264,28.694849712099913,0.0007249592454172671,-84.34,0.0014171451330184937,,300,-156.5,-29.499999999999986,-0.17480842769145966
33,3.5006766319274902,0.3646273650053605,170924,-0.17022188007831573,1.5540229082107544,0.0722954273223877,-52.24458312349982,0.0007652015192434192,2.4523048400878906,45.83668399873621,0.0009700399823486805,-91.22,0.0007934868335723877,,300,-217.00000000000006,13.000000000000007,-0.16942839324474335
34,3.620140790939331,0.39430654021266504,175924,-0.17073582112789154,1.5550782680511475,0.07141923904418945,-50.45035675705475,0.0007412399281747639,2.454524517059326,34.24935619832876,0.0007546794950030744,-83.04,-0.002420365810394287,,300,-173.50000000000003,-7.5,-0.17315618693828583
35,3.65952467918396,0.3638548773050968,180924,-0.1718711107969284,1.552290439605713,0.07377386093139648,-55.19993048830192,0.0008655902929604053,2.565838098526001,42.71112267313985,0.0007401912589557469,-88.6,-0.004295408725738525,,300,-158.5,11.50000000000002,-0.17616651952266693
36,3.6748650074005127,0.3201491401384423,185924,-0.17122435569763184,1.5494747161865234,0.07353734970092773,-49.256169296805446,0.0008102001156657934,2.5657708644866943,34.00185877272006,0.0008324640220962465,-81.56,-0.008952274918556213,,300,-173.5,-28.499999999999982,-0.18017663061618805
37,3.57586932182312,0.38587566638176546,190924,-0.1733076423406601,1.5524110794067383,0.07433819770812988,-44.874217612190584,0.0009179521002806723,2.590266466140747,30.74778691223159,0.0007421103655360639,-76.94,-0.007462501525878906,,300,-140.5,-22.000000000000007,-0.180770143866539
38,3.7650530338287354,0.45471894477220165,195924,-0.16762259602546692,1.5539296865463257,0.07549691200256348,-45.22918045820813,0.0007319103460758924,2.5909571647644043,33.25871915753823,0.0008907533483579755,-78.74,0.002722129225730896,,300,-151.50000000000003,-24.999999999999993,-0.16490046679973602
39,3.6625261306762695,0.31771040325178224,200924,-0.17068929970264435,1.5536171197891235,0.07480025291442871,-37.88089141997259,0.000756666820961982,2.5626156330108643,28.39471781863662,0.0006934283301234245,-65.99999999999999,-0.005178540945053101,,300,-124.0,-22.999999999999993,-0.17586784064769745
40,3.5905911922454834,0.2771040945988454,205924,-0.1684533655643463,1.5523539781570435,0.07764220237731934,-40.45007640046028,0.0005975029780529439,2.659658908843994,35.575249823437645,0.0008127093897201121,-72.04,-0.00019146502017974854,-60.39999999999999,300,-139.00000000000003,9.499999999999998,-0.16864483058452606
41,3.5071799755096436,0.35026765891526085,210924,-0.17065319418907166,1.5487949848175049,0.07621932029724121,-40.65824399945352,0.0007598845404572785,2.618453025817871,30.19867546764262,0.0005868789739906788,-66.2,-0.0027764588594436646,,300,-117.00000000000003,7.50000000000001,-0.17342965304851532
42,3.659846305847168,0.5018162738944674,215924,-0.1697695553302765,1.549983024597168,0.07738828659057617,-38.05708732633505,0.0008903348934836686,2.6898868083953857,27.808674905503864,0.000749446451663971,-63.23999999999999,-0.0013315975666046143,,300,-132.5,-18.499999999999986,-0.1711011528968811
43,3.948458194732666,0.4444271254505185,220924,-0.17070361971855164,1.5480674505233765,0.0796358585357666,-47.174693803621196,0.0007703931769356132,2.772444486618042,31.10687383842999,0.0009254709002561867,-76.32,-0.001911163330078125,,300,-149.5,-28.999999999999993,-0.17261478304862976
44,3.7416374683380127,0.36295996645231443,225924,-0.17000380158424377,1.5505059957504272,0.07909631729125977,-37.17045815863401,0.0006786463782191277,2.7604658603668213,28.558179213668378,0.0007322865421883762,-62.98,-0.008776858448982239,,300,-135.00000000000003,-9.99999999999999,-0.178780660033226
45,4.028814077377319,0.2902194853979963,230924,-0.17046242952346802,1.5486371517181396,0.08291864395141602,-43.717751792942494,0.0007759801228530705,2.863654851913452,28.6001678316754,0.0006494946428574622,-73.48,-0.0029685795307159424,,300,-137.5,-27.999999999999996,-0.17343100905418396
