AverageReturn,dLoss,ProcessExecTime,KLBefore,LossAfter,Entropy,NumTrajs,LossBefore,MaxReturn,PolicyExecTime,EnvExecTime,KL,Iteration,GradNorm,StdReturn,TotalEnvSteps,MinReturn,AverageDiscountedReturn
-41.64473684210525,0.0020819157361984253,0.1580345630645752,0.0011775912716984749,-0.16926690936088562,1.4971210956573486,304,-0.1671849936246872,13.000000000000005,5.4892497062683105,6.58451509475708,0.0011835885234177113,33,0.320124584463025,21.955369770806712,258464,-93.49999999999999,-22.846709938392653
-41.21052631578946,-0.0010495930910110474,0.1503760814666748,0.001174542005173862,-0.16838786005973816,1.497341275215149,304,-0.1694374531507492,-9.999999999999984,5.423745632171631,6.680400371551514,0.001273831119760871,34,0.3844747679348114,13.733186648133245,266064,-74.99999999999997,-22.630830281148533
-36.052631578947356,-0.004950329661369324,0.1474454402923584,0.0012713546166196465,-0.169656902551651,1.4992117881774902,304,-0.17460723221302032,-9.499999999999996,5.4239654541015625,6.427411079406738,0.0013296554097905755,35,0.3501028362278033,18.720516986255664,273664,-93.0,-18.743267773828812
-41.57894736842104,0.004063203930854797,0.14448094367980957,0.001338084926828742,-0.16708935797214508,1.4962408542633057,304,-0.16302615404129028,-7.499999999999989,5.412018299102783,6.662805795669556,0.0011636364506557584,36,0.29919466521648996,18.44569779956886,281264,-100.5,-23.73344326180225
-34.82894736842104,-0.0028691142797470093,0.14421510696411133,0.0011528278701007366,-0.16875915229320526,1.497575283050537,304,-0.17162826657295227,-0.9999999999999831,5.39606237411499,6.534224033355713,0.001264200545847416,37,0.4002473500321711,17.035287028844703,288864,-79.49999999999999,-17.143142443661294
-38.14473684210525,-0.00036460161209106445,0.14664149284362793,0.001262511359527707,-0.1688060462474823,1.4996750354766846,304,-0.16917064785957336,-4.999999999999995,5.419468879699707,6.57593035697937,0.0013136777561157942,38,0.30819533227644963,16.060292606766488,296464,-76.99999999999999,-21.105035717114582
-38.052631578947356,-0.0005487054586410522,0.15046072006225586,0.0013219491811469197,-0.16925179958343506,1.497310996055603,304,-0.1698005050420761,2.0000000000000195,5.5063817501068115,6.432846784591675,0.0011997692054137588,39,0.31038195990713907,16.515459055431503,304064,-61.49999999999999,-21.1023505499379
-36.64473684210526,0.0010178089141845703,0.1547715663909912,0.0012016850523650646,-0.1688845306634903,1.4948235750198364,304,-0.16786672174930573,-4.500000000000005,5.510002851486206,6.541400194168091,0.0012263142270967364,40,0.32312977506230534,20.35213292027231,311664,-98.49999999999997,-18.65994125364605
-29.684210526315777,0.0009418129920959473,0.15308070182800293,0.0011795689351856709,-0.17042504251003265,1.4977830648422241,304,-0.1694832295179367,23.50000000000002,5.4105939865112305,6.483349800109863,0.001239132252521813,41,0.33467520848899035,21.167073814073017,319264,-69.99999999999999,-14.168669107049194
-35.38157894736841,-0.005901411175727844,0.15494918823242188,0.001266644918359816,-0.16897563636302948,1.4953360557556152,304,-0.17487704753875732,4.500000000000018,5.442990064620972,6.52275538444519,0.0012393613578751683,42,0.3197890441298316,18.86183636847525,326864,-86.99999999999997,-18.521441091394376
-37.14473684210525,-0.00278434157371521,0.15442967414855957,0.0012458408018574119,-0.16890135407447815,1.4937350749969482,304,-0.17168569564819336,-0.9999999999999929,5.474171876907349,6.519829034805298,0.001213136245496571,43,0.3063361669590401,17.980584519630888,334464,-88.99999999999999,-19.904935933727945
-32.460526315789465,-0.00025229156017303467,0.15232515335083008,0.0012001398717984557,-0.1677771508693695,1.4941788911819458,304,-0.16802944242954254,1.9539925233402755e-14,5.469408750534058,6.672739744186401,0.001119486172683537,44,0.3172149901447225,16.171930514477758,342064,-65.99999999999997,-17.019504416558586
-32.42105263157894,0.0020133554935455322,0.147369384765625,0.0011398318456485868,-0.1680746227502823,1.495848298072815,304,-0.16606126725673676,14.999999999999998,5.381737232208252,6.360423564910889,0.0011090339394286275,45,0.33683490454628356,18.608333700320753,349664,-70.49999999999997,-17.309396014599464
-28.855263157894726,-0.0007618814706802368,0.1459648609161377,0.001102475798688829,-0.16981780529022217,1.4949767589569092,304,-0.1705796867609024,1.9999999999999964,5.358471632003784,6.372403383255005,0.0013695332454517484,46,0.3015726579531828,15.976919164325125,357264,-62.49999999999998,-12.835167296181883
-31.35526315789473,-0.002206265926361084,0.1479480266571045,0.0013751237420365214,-0.16868475079536438,1.4953863620758057,304,-0.17089101672172546,15.499999999999995,5.388744115829468,6.4317052364349365,0.0013224254362285137,47,0.3153054166731267,19.0010068620811,364864,-67.49999999999997,-15.623741471098509
-29.526315789473678,0.004572421312332153,0.14844059944152832,0.0013083555968478322,-0.16856536269187927,1.494770884513855,304,-0.16399294137954712,7.000000000000007,5.386491775512695,6.2432005405426025,0.0011960837291553617,48,0.27780631600647326,19.078765879354574,372464,-80.49999999999999,-15.022570370026335
-32.39473684210525,-0.0020050406455993652,0.14299654960632324,0.0011945822043344378,-0.17056235671043396,1.491044044494629,304,-0.17256739735603333,-8.499999999999986,5.42474889755249,6.359612464904785,0.0011851995950564742,49,0.3139938913100374,12.55312809345734,380064,-60.49999999999999,-17.425081605254253
-34.48684210526315,-0.004481032490730286,0.1466360092163086,0.0012029733043164015,-0.16526378691196442,1.4927232265472412,304,-0.1697448194026947,-7.999999999999988,5.422048091888428,6.484543561935425,0.0011266253422945738,50,0.36854922636744764,16.758142891907664,387664,-80.49999999999997,-17.04997132991529
-30.53947368421052,-0.0001614391803741455,0.15220856666564941,0.001117799198254943,-0.16868682205677032,1.496630072593689,304,-0.16884826123714447,1.5000000000000067,5.453754186630249,6.5684814453125,0.0011669294908642769,51,0.35953077497038877,16.1454660325183,395264,-63.49999999999999,-14.212277355797692
-26.394736842105253,-0.001016184687614441,0.14868402481079102,0.0011690842220559716,-0.1689928025007248,1.4987258911132812,304,-0.17000898718833923,8.499999999999986,5.315347671508789,6.233468532562256,0.0013542050728574395,52,0.39808284637103936,18.37731650086196,402864,-58.49999999999998,-12.695616879178784
-32.55263157894736,0.0012519210577011108,0.1517469882965088,0.0013600524980574846,-0.17125891149044037,1.4978699684143066,304,-0.17000699043273926,20.499999999999986,5.415755987167358,6.6629555225372314,0.0012877946719527245,53,0.42150876781804086,16.291662976764414,410464,-59.499999999999986,-16.817168754131984
-32.30263157894736,-0.00036269426345825195,0.1519002914428711,0.0013036041054874659,-0.16845129430294037,1.4953774213790894,304,-0.16881398856639862,5.9999999999999964,5.325994491577148,6.379791259765625,0.0012938969302922487,54,0.33803329846726377,16.210189888853456,418064,-65.49999999999997,-16.368405475277086
