MinReturn,NumTrajs,PolicyExecTime,StdReturn,KL,AverageReturn,dLoss,MaxReturn,Iteration,LossBefore,Entropy,GradNorm,LossAfter,KLBefore,EnvExecTime,AverageDiscountedReturn,ProcessExecTime,TotalEnvSteps
-95.99999999999997,312,4.138139963150024,26.24497797989213,0.0012729726731777191,-27.343589743589728,-0.0011400282382965088,48.10000000000001,47,-0.1705196052789688,1.5092623233795166,0.36079299089764943,-0.1693795770406723,0.0012718437938019633,4.577497720718384,-11.727103803149888,0.1137228012084961,364430
-93.49999999999999,304,4.175021171569824,26.372219103503845,0.001151170232333243,-22.69736842105262,-0.000692903995513916,21.50000000000003,48,-0.16755102574825287,1.5077905654907227,0.32830109956002507,-0.16685812175273895,0.0012868831399828196,4.514348983764648,-10.694231243031279,0.11455178260803223,372030
-63.49999999999998,320,4.158226251602173,22.462329437304575,0.0011928211897611618,-17.67749999999999,-0.0008869320154190063,30.499999999999993,49,-0.16951173543930054,1.51153564453125,0.3255826567249418,-0.16862480342388153,0.0011331409914419055,4.463307619094849,-5.520779728575993,0.11482596397399902,379706
-68.49999999999999,320,4.055118560791016,24.64795516366418,0.0011121212737634778,-16.69249999999999,0.0003006458282470703,27.499999999999993,50,-0.169464573264122,1.515602469444275,0.310527265690924,-0.16976521909236908,0.0011483950074762106,4.385857105255127,-5.127012679570933,0.11143827438354492,387213
-48.999999999999986,320,4.159559726715088,19.468114315464657,0.0012010117061436176,-13.494999999999987,0.0006521642208099365,38.8,51,-0.1682785302400589,1.5060105323791504,0.30793345011127565,-0.16893069446086884,0.001130781602114439,4.292207717895508,-3.0112854550487094,0.11501240730285645,394901
-49.99999999999997,312,4.083918333053589,15.997703648492289,0.00125712004955858,-18.174358974358963,0.0039037764072418213,36.099999999999994,52,-0.16478420794010162,1.5072218179702759,0.3771127350757826,-0.16868798434734344,0.0012315756175667048,4.486871957778931,-7.441903172381463,0.11177849769592285,402434
-84.49999999999999,320,4.14404034614563,25.88985986346778,0.0010878687025979161,-20.737499999999986,-0.0012175887823104858,41.10000000000001,53,-0.16873759031295776,1.5029410123825073,0.3857591084856699,-0.16752000153064728,0.0012704672990366817,4.52761435508728,-8.087867966232368,0.11384773254394531,410034
-77.99999999999997,336,4.070008754730225,27.751478479950016,0.0011172451777383685,-12.88571428571427,0.0023453980684280396,38.0,54,-0.1678599864244461,1.5057182312011719,0.34545176569941455,-0.17020538449287415,0.0010255917441099882,4.28655219078064,-2.830484089683448,0.11260533332824707,417546
-56.999999999999986,304,4.149044990539551,18.36087312874476,0.0012408834882080555,-18.478947368421043,-0.00215989351272583,14.000000000000005,55,-0.1699666976928711,1.5025700330734253,0.31791195522685906,-0.16780680418014526,0.0011961458949372172,4.429087162017822,-5.445064754712074,0.11400532722473145,425143
-68.49999999999997,312,4.082724571228027,22.23904852779077,0.00103598868008703,-14.856410256410246,0.0009545385837554932,24.200000000000003,56,-0.1656678020954132,1.503625750541687,0.34303489215291777,-0.1666223406791687,0.001225368003360927,4.4877495765686035,-2.647132537599976,0.1137700080871582,432777
-53.999999999999986,304,4.1020612716674805,19.53347808066904,0.0011643373873084784,-16.918421052631565,0.0025900155305862427,25.0,57,-0.1662735790014267,1.5011152029037476,0.344652398387067,-0.16886359453201294,0.0010335228871554136,4.252639293670654,-4.959760552951246,0.1129610538482666,440321
-74.49999999999999,304,4.118619680404663,18.759909661997728,0.0011744993971660733,-14.999999999999988,-0.0033492594957351685,14.500000000000025,58,-0.17195554077625275,1.5006674528121948,0.3436106553130369,-0.16860628128051758,0.00117287237662822,4.401396989822388,-4.793159262470268,0.11359024047851562,447921
-76.49999999999997,320,4.195676803588867,21.924756412557926,0.0010680960258468986,-15.382499999999988,-0.002429097890853882,45.699999999999996,59,-0.16983509063720703,1.5024385452270508,0.34542360077806167,-0.16740599274635315,0.001126554561778903,4.4586851596832275,-4.52765334447799,0.11554455757141113,455534
-75.49999999999999,304,4.112089395523071,21.394918915519682,0.0011919355019927025,-13.881578947368412,0.002759769558906555,38.0,60,-0.16539406776428223,1.5038002729415894,0.3944250525987061,-0.16815383732318878,0.001101847505196929,4.193490266799927,-2.745127799214611,0.11441826820373535,463134
-61.499999999999986,320,4.246770620346069,22.463013906197006,0.0011724828509613872,-10.727499999999988,-0.0003253370523452759,36.20000000000001,61,-0.1692429780960083,1.5076841115951538,0.36230990321189754,-0.16891764104366302,0.0011509640607982874,4.373127222061157,0.25748096395405184,0.11660361289978027,470795
-61.99999999999998,312,4.053609609603882,23.273378594787324,0.0011182615999132395,-15.856410256410244,-0.000502169132232666,36.099999999999994,62,-0.1701073944568634,1.5046241283416748,0.3451564491323303,-0.16960522532463074,0.0012003467418253422,4.291975975036621,-4.398014672346235,0.11208105087280273,478349
-86.5,304,4.297380208969116,17.461935849186595,0.0012175551382824779,-15.402631578947355,-0.0015283077955245972,14.500000000000007,63,-0.17124806344509125,1.5041950941085815,0.4327427258816894,-0.16971975564956665,0.0011390999425202608,4.474310398101807,-3.0357806893614123,0.1176459789276123,485892
-58.99999999999997,312,4.2543017864227295,22.39542459376563,0.001202268060296774,-12.866666666666656,6.985664367675781e-05,41.699999999999996,64,-0.16804610192775726,1.5037437677383423,0.35149367811752474,-0.16811595857143402,0.001149829593487084,4.253249168395996,-2.4307105487447194,0.11591076850891113,493435
-51.999999999999986,312,4.20125412940979,21.30560759958224,0.0011044673155993223,-12.8076923076923,0.0029968321323394775,30.49999999999998,65,-0.1659047156572342,1.5019738674163818,0.47429214592909363,-0.16890154778957367,0.0012542371405288577,4.277235269546509,-1.199566237857457,0.11497068405151367,501020
-68.5,312,4.257315635681152,25.219191371101264,0.0012752426555380225,-17.346153846153836,0.001344144344329834,41.4,66,-0.16687235236167908,1.5027271509170532,0.31095977031247257,-0.1682164967060089,0.0011167575139552355,4.49797248840332,-6.2908710210148895,0.11715888977050781,508715
-59.99999999999997,320,4.114767789840698,24.769882922613895,0.0010884290095418692,-6.269999999999988,0.002198338508605957,47.300000000000004,67,-0.1661655157804489,1.504190444946289,0.3389150767797444,-0.16836385428905487,0.0012217042967677116,4.020794153213501,2.6031766647022687,0.11389398574829102,516283
-81.99999999999997,304,4.1749444007873535,22.875438327392988,0.0011831012088805437,-16.489473684210513,-0.003915220499038696,14.00000000000001,68,-0.1715545952320099,1.500097632408142,0.3679692091942274,-0.1676393747329712,0.0011696204310283065,4.408108472824097,-5.606176428542397,0.11549639701843262,523829
-65.49999999999999,312,4.213088750839233,21.121558576165498,0.0012843587901443243,-15.976923076923063,0.0011399239301681519,28.999999999999986,69,-0.16673971712589264,1.4989135265350342,0.459709115938551,-0.1678796410560608,0.0011522398563101888,4.273866176605225,-4.125544041532031,0.11591911315917969,531515
-94.49999999999997,312,4.062830686569214,23.9705731276575,0.001098566921427846,-11.666666666666654,0.004737749695777893,41.19999999999998,70,-0.1628541201353073,1.497753620147705,0.355270842641969,-0.1675918698310852,0.0012465929612517357,4.056226968765259,-2.384677524411985,0.11260414123535156,539045
-68.0,328,4.19640040397644,21.73947494696366,0.0011822861852124333,-5.075609756097552,-0.00023031234741210938,48.8,71,-0.16683052480220795,1.5007548332214355,0.32765615822289096,-0.16660021245479584,0.0010505691170692444,4.164065361022949,2.291623428425086,0.11639738082885742,546731
-108.0,328,4.073317050933838,29.448913003657125,0.0011197325075045228,-5.039024390243892,-0.0030887573957443237,57.8,72,-0.169253870844841,1.4994512796401978,0.3631812520608861,-0.16616511344909668,0.0011646487982943654,4.100218296051025,2.519680508688905,0.1139063835144043,554242
-56.49999999999997,304,4.167400598526001,19.878820735909244,0.0012356225633993745,-12.265789473684197,-0.0013218969106674194,22.999999999999986,73,-0.16961313784122467,1.489709496498108,0.3736355725407261,-0.16829124093055725,0.0012157626915723085,4.255040407180786,-1.4811281078315692,0.11473345756530762,561813
-44.99999999999997,312,4.2745702266693115,17.485566133562184,0.001100231776945293,-6.843589743589732,-0.003156140446662903,25.499999999999993,74,-0.16792698204517365,1.491518497467041,0.42179203218432154,-0.16477084159851074,0.0012062347959727049,4.339254856109619,2.0834580915088687,0.11828780174255371,569512
-40.499999999999986,312,4.274759292602539,18.875281868484162,0.0010690935887396336,-6.55897435897435,-0.0022547543048858643,31.99999999999998,75,-0.16670407354831696,1.490525484085083,0.3882274893597826,-0.1644493192434311,0.0010638730600476265,4.153102397918701,3.696011115359347,0.11893224716186523,577100
-48.99999999999997,320,4.159383773803711,20.592374195318026,0.0010113234166055918,-3.324999999999992,-0.00026297569274902344,49.0,76,-0.16666916012763977,1.494073748588562,0.41381513076521087,-0.16640618443489075,0.001042115269228816,4.141641139984131,5.102526823036103,0.11622118949890137,584630
-42.99999999999997,304,4.163894891738892,14.976396942320976,0.0011659140000119805,-11.873684210526301,-0.0011000782251358032,19.99999999999999,77,-0.16964882612228394,1.4868113994598389,0.4022890582961194,-0.16854874789714813,0.0010681796120479703,4.277535915374756,-2.166499567012815,0.11555910110473633,592132
-63.99999999999998,328,4.1207311153411865,23.48536243411012,0.0010565154952928424,-5.534146341463403,-0.0011971443891525269,45.10000000000001,78,-0.1647462397813797,1.4874730110168457,0.4209170503964593,-0.16354909539222717,0.0011254105484113097,4.219442129135132,2.538215501210503,0.11522626876831055,599746
-61.499999999999986,304,4.039574384689331,20.89326456433088,0.0010966561967507005,-8.17894736842104,0.0031176507472991943,29.299999999999983,79,-0.16102099418640137,1.4839215278625488,0.4152886022592794,-0.16413864493370056,0.0010998494690284133,3.9505996704101562,1.099432019477549,0.11319732666015625,607249
-74.49999999999997,328,4.126403331756592,22.85162002517838,0.0011695699067786336,-3.182926829268282,-0.0049140602350234985,34.30000000000002,80,-0.1704195737838745,1.4891923666000366,0.427539876607092,-0.165505513548851,0.0010532588930800557,4.065659761428833,5.240148206808711,0.1143636703491211,614869
-98.49999999999997,328,4.117897987365723,24.39702052200189,0.0011264713248237967,-4.904878048780475,-0.0010923594236373901,45.8,81,-0.16689549386501312,1.4915382862091064,0.40119979067595746,-0.16580313444137573,0.0011701188050210476,4.083769083023071,4.231358304659916,0.11490130424499512,622515
-61.99999999999997,320,4.120097875595093,24.262468959279467,0.0011104864533990622,-2.4399999999999893,-0.004758238792419434,43.199999999999996,82,-0.1698673963546753,1.486998438835144,0.3790157897701214,-0.16510915756225586,0.0011310712434351444,3.9861178398132324,5.983885866275747,0.1138615608215332,630021
-58.999999999999986,320,4.072054147720337,20.750890191748393,0.0009748737793415785,-2.857499999999992,-0.0029913783073425293,39.399999999999984,83,-0.16640551388263702,1.4890072345733643,0.36929071270706226,-0.1634141355752945,0.0011123089352622628,4.036808729171753,6.156456414035626,0.11182308197021484,637524
-42.499999999999986,312,4.119889736175537,20.62187613065137,0.0012148768873885274,-7.723076923076914,0.0013826340436935425,54.20000000000001,84,-0.16404107213020325,1.4803781509399414,0.4104444241382124,-0.1654237061738968,0.0010405272478237748,4.213334560394287,0.8574563395173589,0.11375737190246582,645136
-43.49999999999997,320,4.055888414382935,17.37271639669513,0.001019966439343989,-0.8349999999999934,-0.002806365489959717,45.19999999999998,85,-0.16693446040153503,1.4840245246887207,0.43311404895031724,-0.16412809491157532,0.0011768168769776821,3.9633426666259766,6.586912702506828,0.11249971389770508,652645
-36.99999999999996,320,4.088893413543701,15.886862497044522,0.001150336000137031,-5.109999999999988,0.001252874732017517,34.199999999999974,86,-0.16421768069267273,1.481823444366455,0.3659703409427085,-0.16547055542469025,0.0010211956687271595,3.972156524658203,1.4423153385094314,0.11333179473876953,660249
-66.49999999999997,312,4.155530214309692,19.857814437000172,0.001021123374812305,-2.771794871794863,0.0025987327098846436,42.19999999999999,87,-0.15990965068340302,1.4807002544403076,0.4397560494026568,-0.16250838339328766,0.0011575206881389022,4.1239213943481445,4.38110569677952,0.11627650260925293,667755
-47.99999999999998,336,4.261746406555176,23.333436953122686,0.0009623445803299546,3.2976190476190577,0.0030873268842697144,48.9,88,-0.16104981303215027,1.4859143495559692,0.35946458016593075,-0.16413713991641998,0.0009803363354876637,4.1276609897613525,8.098884956305655,0.11774682998657227,675380
-66.99999999999997,320,4.241979360580444,21.992497442309723,0.0013536512851715088,-8.442499999999987,-0.002107754349708557,27.500000000000007,89,-0.16563108563423157,1.4793416261672974,0.4108262423676148,-0.163523331284523,0.0010286448523402214,4.098058462142944,1.3463935278186885,0.11734199523925781,683077
-44.49999999999997,352,4.1848273277282715,22.70458867954753,0.0009566883672960103,-0.3272727272727137,0.0025330334901809692,46.900000000000006,90,-0.16273640096187592,1.4855129718780518,0.3958353893771847,-0.16526943445205688,0.001232640934176743,4.040408611297607,6.714207521037705,0.1162714958190918,690741
-58.99999999999999,328,4.16820216178894,22.142390589886585,0.0010514098685234785,-7.212195121951207,-0.00020019710063934326,45.8,91,-0.1636013686656952,1.4792965650558472,0.46311298131873624,-0.16340117156505585,0.0010278300615027547,4.173783779144287,-0.6195503814963734,0.11616802215576172,698358
-75.5,312,4.08737325668335,22.122066177593172,0.0012287122663110495,-11.033333333333323,0.00045658648014068604,31.500000000000007,92,-0.16354091465473175,1.4758292436599731,0.3682127359789643,-0.16399750113487244,0.0010982169769704342,4.114779472351074,-3.5786478428349793,0.11346769332885742,705906
-52.499999999999986,360,4.176319360733032,22.44472673089809,0.0010698753176257014,1.6844444444444566,0.002488955855369568,45.8,93,-0.16254973411560059,1.4881374835968018,0.36515742056143147,-0.16503868997097015,0.0010613007470965385,3.9457895755767822,6.690186178814281,0.11693096160888672,713473
-58.49999999999997,320,4.088693618774414,22.581314731432265,0.0010848997626453638,-8.584999999999988,-0.0012254416942596436,36.49999999999999,94,-0.1655207723379135,1.4770241975784302,0.41536583360294943,-0.16429533064365387,0.0012156963348388672,4.020852088928223,-0.42167180670053794,0.11340832710266113,720977
-44.49999999999999,344,4.085322856903076,21.82858685059563,0.0010764823528006673,0.6023255813953575,-0.0007451176643371582,61.0,95,-0.1661756932735443,1.4856747388839722,0.4535512236079961,-0.16543057560920715,0.0010142679093405604,4.045590877532959,6.481102705266816,0.11441469192504883,728523
