TotalEnvSteps,Iteration,dLoss,PolicyExecTime,GradNorm,StdReturn,MaxReturn,AverageReturn,ProcessExecTime,EnvExecTime,MinReturn,LossAfter,KLBefore,NumTrajs,LossBefore,Entropy,KL,AverageDiscountedReturn
335887,66,-0.004841282963752747,2.9987287521362305,0.4320649627742363,19.29107565689379,8.500000000000036,-46.11999999999998,0.0737142562866211,4.488116502761841,-72.5,-0.17493705451488495,0.0011069674510508776,300,-0.1797783374786377,1.4762603044509888,0.0012507461942732334,-28.75053772856195
340887,67,-0.001432269811630249,3.0735695362091064,0.5032325631040343,22.55210854886966,-0.9999999999999858,-52.18,0.07293581962585449,4.498082637786865,-90.0,-0.17341700196266174,0.001255846698768437,300,-0.174849271774292,1.4726355075836182,0.0010295185493305326,-30.404053055613243
345887,68,-0.0061196982860565186,2.9552536010742188,0.45762540118576817,24.103111832292523,15.000000000000016,-33.29999999999999,0.07268214225769043,4.3880133628845215,-83.49999999999999,-0.17381136119365692,0.0009959152666851878,300,-0.17993105947971344,1.4737924337387085,0.0010810467647388577,-16.046587844249323
350887,69,-0.0032780617475509644,2.989091634750366,0.44834739233523024,20.48917763113005,-1.9999999999999876,-38.43999999999999,0.07338857650756836,4.386998653411865,-72.49999999999999,-0.17416390776634216,0.001078043831512332,300,-0.17744196951389313,1.4767485857009888,0.0013007582165300846,-20.308122708413226
355887,70,-0.005623430013656616,3.213902473449707,0.4047796219017455,22.25219090336949,13.499999999999996,-34.89999999999999,0.0773935317993164,4.6999428272247314,-67.49999999999997,-0.17204223573207855,0.0012937060091644526,300,-0.17766566574573517,1.4797338247299194,0.0008806050755083561,-18.350061401840847
360887,71,-0.00619170069694519,3.0015385150909424,0.44898751412290205,23.27699293293702,-9.499999999999979,-44.539999999999985,0.07302069664001465,4.470829486846924,-102.99999999999999,-0.17370501160621643,0.0008921661647036672,300,-0.17989671230316162,1.4777839183807373,0.0011457884684205055,-25.854488212393026
365887,72,-0.005754262208938599,3.027599334716797,0.48502268913667484,28.488566127483494,18.499999999999993,-39.95999999999999,0.07298755645751953,4.420698165893555,-96.0,-0.1733270138502121,0.001122545450925827,300,-0.1790812760591507,1.4796017408370972,0.0010499320924282074,-24.086807232769985
370887,73,-0.0004522949457168579,3.002916097640991,0.4243646030711335,26.6045108957109,19.000000000000004,-41.19999999999998,0.07353639602661133,4.433611154556274,-107.49999999999997,-0.1744871735572815,0.001053382526151836,300,-0.17493946850299835,1.477964997291565,0.0010110372677445412,-22.977860171211177
375887,74,-0.004840493202209473,2.948307514190674,0.4617951742533172,21.53369452741447,17.999999999999996,-28.89999999999999,0.07328128814697266,4.261493682861328,-66.99999999999999,-0.1751565933227539,0.0009985518408939242,300,-0.17999708652496338,1.4826116561889648,0.0011150097707286477,-12.97736778506102
380887,75,-0.0008757561445236206,2.961398124694824,0.4071531780147301,24.748333277212833,12.000000000000004,-40.99999999999999,0.0725102424621582,4.302415132522583,-113.00000000000001,-0.17487089335918427,0.0011055044597014785,300,-0.17574664950370789,1.4790884256362915,0.0011898553930222988,-23.8057214602038
385887,76,-0.0037242770195007324,3.025933027267456,0.41793062500530836,19.33353563112552,23.500000000000018,-39.37999999999999,0.07348513603210449,4.419743776321411,-69.0,-0.17355264723300934,0.0012031393125653267,300,-0.17727692425251007,1.478447675704956,0.0010080832289531827,-22.09685962959715
390887,77,-0.002037644386291504,3.0045316219329834,0.4271464177457652,18.39441219501183,-3.499999999999968,-38.83999999999999,0.07274842262268066,4.482643365859985,-75.5,-0.1752757579088211,0.0010101547231897712,300,-0.1773134022951126,1.479865550994873,0.0010492968140169978,-21.7831913934357
395887,78,-0.002490013837814331,3.048511028289795,0.388990669368123,23.474207121860367,1.0000000000000195,-35.959999999999994,0.07400131225585938,4.586992263793945,-80.99999999999999,-0.17295435070991516,0.0010325480252504349,300,-0.1754443645477295,1.4781368970870972,0.0010018888860940933,-18.64258151453084
400887,79,0.0025786012411117554,2.9757564067840576,0.49118867954567413,21.691933984778768,31.000000000000025,-35.49999999999999,0.07241368293762207,4.317778825759888,-68.99999999999999,-0.17313405871391296,0.0010187604930251837,300,-0.1705554574728012,1.4766013622283936,0.0008787778206169605,-20.394342237245734
405887,80,-0.004195660352706909,2.9166147708892822,0.47606225447460127,20.532354955045953,3.500000000000006,-31.819999999999986,0.07169699668884277,4.292098522186279,-76.0,-0.17489762604236603,0.0008742163190618157,300,-0.17909328639507294,1.4791895151138306,0.001145834568887949,-15.551993026419625
410887,81,-0.003722146153450012,3.0797219276428223,0.505260792650089,22.45676735418524,1.0000000000000124,-41.05999999999999,0.07396221160888672,4.5409722328186035,-80.49999999999999,-0.17285490036010742,0.0011786596151068807,300,-0.17657704651355743,1.4794819355010986,0.0010675655212253332,-23.685641937605627
415887,82,-0.008231371641159058,2.969871997833252,0.4864656498919715,28.108105592515482,-0.49999999999998224,-44.11999999999999,0.07378005981445312,4.395083427429199,-116.5,-0.17320039868354797,0.0010355024132877588,300,-0.18143177032470703,1.4805423021316528,0.0009991098195314407,-26.405153059498026
420887,83,-0.0023603737354278564,3.001671075820923,0.4792574516435541,25.16619955416391,-9.999999999999996,-46.31999999999998,0.0745537281036377,4.401195764541626,-97.99999999999997,-0.17428021132946014,0.0010122513631358743,300,-0.176640585064888,1.475708246231079,0.0010733217932283878,-26.881045045212353
425887,84,-0.0014399439096450806,2.9155707359313965,0.6280533359988503,18.607525359380812,-13.999999999999988,-39.29999999999999,0.07219433784484863,4.416515827178955,-88.49999999999999,-0.17434760928153992,0.0010837907902896404,300,-0.175787553191185,1.4763007164001465,0.0010651134653016925,-21.337427227722905
430887,85,0.003503471612930298,2.9275150299072266,0.5629718402058479,20.09073418270223,7.9999999999999964,-30.319999999999997,0.07284045219421387,4.27583122253418,-68.5,-0.17297117412090302,0.0010596122592687607,300,-0.16946770250797272,1.4759318828582764,0.0008581827860325575,-13.560219959769453
435887,86,-0.004520818591117859,2.9232378005981445,0.4980570553236498,19.561942643817357,-9.999999999999984,-43.97999999999998,0.07272529602050781,4.358051300048828,-86.0,-0.17484664916992188,0.0008615111000835896,300,-0.17936746776103973,1.475618600845337,0.0011301444610580802,-27.415316217582305
440887,87,-0.0021022409200668335,2.9812560081481934,0.47801508415210164,23.508942979215377,11.499999999999993,-32.63999999999999,0.07318615913391113,4.333759069442749,-79.49999999999999,-0.1736883968114853,0.001105419360101223,300,-0.17579063773155212,1.478285789489746,0.0010120630031451583,-17.172806566512257
445887,88,-0.005505725741386414,2.9842112064361572,0.48487020923600344,18.666826189794556,1.000000000000032,-29.359999999999992,0.07295703887939453,4.454737663269043,-69.99999999999999,-0.17381152510643005,0.0010274869855493307,300,-0.17931725084781647,1.4815735816955566,0.0009934133850038052,-13.41122223621225
450887,89,-0.0009827017784118652,3.023085117340088,0.47304522783526387,17.346469381404386,11.500000000000002,-38.099999999999994,0.07242321968078613,4.448158025741577,-69.49999999999997,-0.17401666939258575,0.0010084612295031548,300,-0.17499937117099762,1.476895809173584,0.0009527115034870803,-20.264010386446458
455887,90,-0.005387365818023682,2.954803228378296,0.47025083264516615,19.117886912522525,4.000000000000026,-32.41999999999999,0.0727849006652832,4.448192119598389,-72.0,-0.1747969537973404,0.0009578406461514533,300,-0.18018431961536407,1.4804015159606934,0.0010865891817957163,-16.682453056210914
460887,91,-0.0019496530294418335,2.9697704315185547,0.47780533677382464,19.960320638707184,3.000000000000007,-30.83999999999999,0.07276511192321777,4.3409528732299805,-81.49999999999997,-0.17451420426368713,0.0010863970965147018,300,-0.17646385729312897,1.4806684255599976,0.0010504311649128795,-17.027687353128837
465925,92,0.00012095272541046143,3.02543306350708,0.5028317710193926,21.82990321912154,38.00000000000001,-27.76153846153845,0.07401323318481445,4.490569353103638,-84.99999999999999,-0.17648610472679138,0.0010110825533047318,312,-0.17636515200138092,1.4850916862487793,0.0010309881763532758,-13.851708595045036
470925,93,0.0012394040822982788,3.0304062366485596,0.5403422154178238,23.337214915237848,16.999999999999982,-34.61999999999999,0.07363080978393555,4.443864345550537,-83.99999999999997,-0.17478027939796448,0.0010622541885823011,300,-0.1735408753156662,1.4795536994934082,0.0010870550759136677,-17.781185360362556
475925,94,-0.0006968677043914795,2.90183424949646,0.4387583908777305,23.011336336684145,19.499999999999996,-19.779999999999983,0.07231569290161133,4.19944167137146,-58.999999999999986,-0.1719679981470108,0.0010782413883134723,300,-0.17266486585140228,1.4842870235443115,0.000982929952442646,-6.846708994965305
480925,95,-0.004275143146514893,2.997455596923828,0.4595109715997766,23.841560351621283,22.5,-31.699999999999985,0.07363104820251465,4.312525749206543,-65.0,-0.1743614673614502,0.0009939306182786822,300,-0.1786366105079651,1.481886386871338,0.0009990112157538533,-17.256246566636026
485925,96,-0.0015634000301361084,2.90963077545166,0.49819296003383357,20.187263311305962,11.499999999999991,-29.11999999999999,0.07231855392456055,4.265892267227173,-68.99999999999999,-0.17722897231578827,0.0009955361019819975,300,-0.17879237234592438,1.4841864109039307,0.001091654528863728,-15.019689916790718
